lemma	length	difficulty	morphology_tags	plural_only	zipf_frequency	frequency_rank_for_length	source	status	manual_decision
друг	4	EASY	NOUN,anim,masc plur,ablt | NOUN,anim,masc plur,accs | NOUN,anim,masc plur,datv | NOUN,anim,masc plur,gent | NOUN,anim,masc plur,loct | NOUN,anim,masc plur,nomn | NOUN,anim,masc sing,ablt | NOUN,anim,masc sing,accs | NOUN,anim,masc sing,datv | NOUN,anim,masc sing,gent | NOUN,anim,masc sing,loct | NOUN,anim,masc sing,nomn	false	5.47	3	MANUAL_ALLOW	IN_POOL_REVIEW_REQUIRED	ALLOW
дружба	6	HARD	NOUN,inan,femn plur,ablt | NOUN,inan,femn plur,accs | NOUN,inan,femn plur,datv | NOUN,inan,femn plur,gent | NOUN,inan,femn plur,loct | NOUN,inan,femn plur,nomn | NOUN,inan,femn sing,ablt | NOUN,inan,femn sing,ablt,V-oy | NOUN,inan,femn sing,accs | NOUN,inan,femn sing,datv | NOUN,inan,femn sing,gent | NOUN,inan,femn sing,loct | NOUN,inan,femn sing,nomn	false	4.25	141	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
дружище	7	EXPERT	NOUN,anim,masc plur,ablt | NOUN,anim,masc plur,accs | NOUN,anim,masc plur,datv | NOUN,anim,masc plur,gent | NOUN,anim,masc plur,loct | NOUN,anim,masc plur,nomn | NOUN,anim,masc sing,ablt | NOUN,anim,masc sing,ablt,Infr | NOUN,anim,masc sing,accs | NOUN,anim,masc sing,accs,Infr | NOUN,anim,masc sing,datv | NOUN,anim,masc sing,datv,Infr | NOUN,anim,masc sing,gent | NOUN,anim,masc sing,gent,Infr | NOUN,anim,masc sing,loct | NOUN,anim,masc sing,nomn	false	3.46	503	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
дубль	5	MEDIUM	NOUN,inan,masc plur,ablt | NOUN,inan,masc plur,accs | NOUN,inan,masc plur,datv | NOUN,inan,masc plur,gent | NOUN,inan,masc plur,loct | NOUN,inan,masc plur,nomn | NOUN,inan,masc sing,ablt | NOUN,inan,masc sing,accs | NOUN,inan,masc sing,datv | NOUN,inan,masc sing,gent | NOUN,inan,masc sing,loct | NOUN,inan,masc sing,nomn	false	4.01	264	TRUSTED_V1	TRUSTED	ALLOW
дуга	4	EASY	NOUN,inan,femn plur,ablt | NOUN,inan,femn plur,accs | NOUN,inan,femn plur,datv | NOUN,inan,femn plur,gent | NOUN,inan,femn plur,loct | NOUN,inan,femn plur,nomn | NOUN,inan,femn sing,ablt | NOUN,inan,femn sing,ablt,V-oy | NOUN,inan,femn sing,accs | NOUN,inan,femn sing,datv | NOUN,inan,femn sing,gent | NOUN,inan,femn sing,loct | NOUN,inan,femn sing,nomn	false	3.27	516	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
дума	4	EASY	NOUN,inan,femn plur,ablt | NOUN,inan,femn plur,accs | NOUN,inan,femn plur,datv | NOUN,inan,femn plur,gent | NOUN,inan,femn plur,loct | NOUN,inan,femn plur,nomn | NOUN,inan,femn sing,ablt | NOUN,inan,femn sing,ablt,V-oy | NOUN,inan,femn sing,accs | NOUN,inan,femn sing,datv | NOUN,inan,femn sing,gent | NOUN,inan,femn sing,loct | NOUN,inan,femn sing,nomn	false	4.09	179	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
дупло	5	MEDIUM	NOUN,inan,neut plur,ablt | NOUN,inan,neut plur,accs | NOUN,inan,neut plur,datv | NOUN,inan,neut plur,gent | NOUN,inan,neut plur,gent,Infr | NOUN,inan,neut plur,loct | NOUN,inan,neut plur,nomn | NOUN,inan,neut sing,ablt | NOUN,inan,neut sing,accs | NOUN,inan,neut sing,datv | NOUN,inan,neut sing,gent | NOUN,inan,neut sing,loct | NOUN,inan,neut sing,nomn	false	2.72	1395	TRUSTED_V1	TRUSTED	ALLOW
дура	4	EASY	NOUN,anim,femn plur,ablt | NOUN,anim,femn plur,accs | NOUN,anim,femn plur,datv | NOUN,anim,femn plur,gent | NOUN,anim,femn plur,loct | NOUN,anim,femn plur,nomn | NOUN,anim,femn sing,ablt | NOUN,anim,femn sing,ablt,V-oy | NOUN,anim,femn sing,accs | NOUN,anim,femn sing,datv | NOUN,anim,femn sing,gent | NOUN,anim,femn sing,loct | NOUN,anim,femn sing,nomn	false	4.07	185	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
дурь	4	EASY	NOUN,inan,femn plur,ablt | NOUN,inan,femn plur,accs | NOUN,inan,femn plur,datv | NOUN,inan,femn plur,gent | NOUN,inan,femn plur,loct | NOUN,inan,femn plur,nomn | NOUN,inan,femn sing,ablt | NOUN,inan,femn sing,accs | NOUN,inan,femn sing,datv | NOUN,inan,femn sing,gent | NOUN,inan,femn sing,loct | NOUN,inan,femn sing,nomn	false	3.30	498	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
душа	4	EASY	NOUN,inan,femn plur,ablt | NOUN,inan,femn plur,accs | NOUN,inan,femn plur,datv | NOUN,inan,femn plur,gent | NOUN,inan,femn plur,loct | NOUN,inan,femn plur,nomn | NOUN,inan,femn sing,ablt | NOUN,inan,femn sing,ablt,V-oy | NOUN,inan,femn sing,accs | NOUN,inan,femn sing,datv | NOUN,inan,femn sing,gent | NOUN,inan,femn sing,loct | NOUN,inan,femn sing,nomn	false	4.62	72	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
дуэт	4	EASY	NOUN,inan,masc plur,ablt | NOUN,inan,masc plur,accs | NOUN,inan,masc plur,datv | NOUN,inan,masc plur,gent | NOUN,inan,masc plur,loct | NOUN,inan,masc plur,nomn | NOUN,inan,masc sing,ablt | NOUN,inan,masc sing,accs | NOUN,inan,masc sing,datv | NOUN,inan,masc sing,gent | NOUN,inan,masc sing,loct | NOUN,inan,masc sing,nomn	false	3.85	255	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
дыра	4	EASY	NOUN,inan,femn plur,ablt | NOUN,inan,femn plur,accs | NOUN,inan,femn plur,datv | NOUN,inan,femn plur,gent | NOUN,inan,femn plur,loct | NOUN,inan,femn plur,nomn | NOUN,inan,femn sing,ablt | NOUN,inan,femn sing,ablt,V-oy | NOUN,inan,femn sing,accs | NOUN,inan,femn sing,datv | NOUN,inan,femn sing,gent | NOUN,inan,femn sing,loct | NOUN,inan,femn sing,nomn	false	3.70	300	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
дыхание	7	EXPERT	NOUN,inan,neut plur,ablt | NOUN,inan,neut plur,ablt,V-be | NOUN,inan,neut plur,accs | NOUN,inan,neut plur,accs,V-be | NOUN,inan,neut plur,datv | NOUN,inan,neut plur,datv,V-be | NOUN,inan,neut plur,gent | NOUN,inan,neut plur,loct | NOUN,inan,neut plur,loct,V-be | NOUN,inan,neut plur,nomn | NOUN,inan,neut plur,nomn,V-be | NOUN,inan,neut sing,ablt | NOUN,inan,neut sing,ablt,V-be | NOUN,inan,neut sing,accs | NOUN,inan,neut sing,accs,V-be | NOUN,inan,neut sing,datv | NOUN,inan,neut sing,datv,V-be | NOUN,inan,neut sing,gent | NOUN,inan,neut sing,gent,V-be | NOUN,inan,neut sing,loct | NOUN,inan,neut sing,loct,V-be | NOUN,inan,neut sing,loct,V-be,V-bi | NOUN,inan,neut sing,nomn | NOUN,inan,neut sing,nomn,V-be	false	4.27	127	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
дьявол	6	HARD	NOUN,anim,masc plur,ablt | NOUN,anim,masc plur,accs | NOUN,anim,masc plur,datv | NOUN,anim,masc plur,gent | NOUN,anim,masc plur,loct | NOUN,anim,masc plur,nomn | NOUN,anim,masc sing,ablt | NOUN,anim,masc sing,accs | NOUN,anim,masc sing,datv | NOUN,anim,masc sing,gent | NOUN,anim,masc sing,loct | NOUN,anim,masc sing,nomn	false	3.90	263	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
дядя	4	EASY	NOUN,anim,masc plur,ablt | NOUN,anim,masc plur,ablt,Infr | NOUN,anim,masc plur,accs | NOUN,anim,masc plur,accs,Infr | NOUN,anim,masc plur,datv | NOUN,anim,masc plur,datv,Infr | NOUN,anim,masc plur,gent | NOUN,anim,masc plur,gent,Infr | NOUN,anim,masc plur,loct | NOUN,anim,masc plur,loct,Infr | NOUN,anim,masc plur,nomn | NOUN,anim,masc plur,nomn,Infr | NOUN,anim,masc sing,ablt | NOUN,anim,masc sing,ablt,V-ey | NOUN,anim,masc sing,accs | NOUN,anim,masc sing,datv | NOUN,anim,masc sing,gent | NOUN,anim,masc sing,loct | NOUN,anim,masc sing,nomn	false	4.45	105	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
евро	4	EASY	NOUN,inan,neut,Fixd plur,ablt | NOUN,inan,neut,Fixd plur,accs | NOUN,inan,neut,Fixd plur,datv | NOUN,inan,neut,Fixd plur,gent | NOUN,inan,neut,Fixd plur,loct | NOUN,inan,neut,Fixd plur,nomn | NOUN,inan,neut,Fixd sing,ablt | NOUN,inan,neut,Fixd sing,accs | NOUN,inan,neut,Fixd sing,datv | NOUN,inan,neut,Fixd sing,gent | NOUN,inan,neut,Fixd sing,loct | NOUN,inan,neut,Fixd sing,nomn	false	4.88	42	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
единица	7	EXPERT	NOUN,inan,femn,Inmx anim,plur,accs | NOUN,inan,femn,Inmx plur,ablt | NOUN,inan,femn,Inmx plur,accs | NOUN,inan,femn,Inmx plur,datv | NOUN,inan,femn,Inmx plur,gent | NOUN,inan,femn,Inmx plur,loct | NOUN,inan,femn,Inmx plur,nomn | NOUN,inan,femn,Inmx sing,ablt | NOUN,inan,femn,Inmx sing,ablt,V-ey | NOUN,inan,femn,Inmx sing,accs | NOUN,inan,femn,Inmx sing,datv | NOUN,inan,femn,Inmx sing,gent | NOUN,inan,femn,Inmx sing,loct | NOUN,inan,femn,Inmx sing,nomn	false	3.77	312	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
езда	4	EASY	NOUN,inan,femn,Sgtm sing,ablt | NOUN,inan,femn,Sgtm sing,ablt,V-oy | NOUN,inan,femn,Sgtm sing,accs | NOUN,inan,femn,Sgtm sing,datv | NOUN,inan,femn,Sgtm sing,gent | NOUN,inan,femn,Sgtm sing,loct | NOUN,inan,femn,Sgtm sing,nomn	false	3.30	499	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
елка	4	EASY	NOUN,inan,femn plur,ablt | NOUN,inan,femn plur,accs | NOUN,inan,femn plur,datv | NOUN,inan,femn plur,gent | NOUN,inan,femn plur,loct | NOUN,inan,femn plur,nomn | NOUN,inan,femn sing,ablt | NOUN,inan,femn sing,ablt,V-oy | NOUN,inan,femn sing,accs | NOUN,inan,femn sing,datv | NOUN,inan,femn sing,gent | NOUN,inan,femn sing,loct | NOUN,inan,femn sing,nomn	false	3.41	429	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
емкость	7	EXPERT	NOUN,inan,femn plur,ablt | NOUN,inan,femn plur,accs | NOUN,inan,femn plur,datv | NOUN,inan,femn plur,gent | NOUN,inan,femn plur,loct | NOUN,inan,femn plur,nomn | NOUN,inan,femn sing,ablt | NOUN,inan,femn sing,accs | NOUN,inan,femn sing,datv | NOUN,inan,femn sing,gent | NOUN,inan,femn sing,loct | NOUN,inan,femn sing,nomn	false	3.55	442	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
епископ	7	EXPERT	NOUN,anim,masc plur,ablt | NOUN,anim,masc plur,accs | NOUN,anim,masc plur,datv | NOUN,anim,masc plur,gent | NOUN,anim,masc plur,loct | NOUN,anim,masc plur,nomn | NOUN,anim,masc sing,ablt | NOUN,anim,masc sing,accs | NOUN,anim,masc sing,datv | NOUN,anim,masc sing,gent | NOUN,anim,masc sing,loct | NOUN,anim,masc sing,nomn	false	3.81	296	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
ерунда	6	HARD	NOUN,inan,femn,Sgtm sing,ablt | NOUN,inan,femn,Sgtm sing,ablt,V-oy | NOUN,inan,femn,Sgtm sing,accs | NOUN,inan,femn,Sgtm sing,datv | NOUN,inan,femn,Sgtm sing,gent | NOUN,inan,femn,Sgtm sing,loct | NOUN,inan,femn,Sgtm sing,nomn	false	3.74	340	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
жаба	4	EASY	NOUN,anim,femn plur,ablt | NOUN,anim,femn plur,accs | NOUN,anim,femn plur,datv | NOUN,anim,femn plur,gent | NOUN,anim,femn plur,loct | NOUN,anim,femn plur,nomn | NOUN,anim,femn sing,ablt | NOUN,anim,femn sing,ablt,V-oy | NOUN,anim,femn sing,accs | NOUN,anim,femn sing,datv | NOUN,anim,femn sing,gent | NOUN,anim,femn sing,loct | NOUN,anim,femn sing,nomn | NOUN,inan,femn plur,ablt | NOUN,inan,femn plur,accs | NOUN,inan,femn plur,datv | NOUN,inan,femn plur,gent | NOUN,inan,femn plur,loct | NOUN,inan,femn plur,nomn | NOUN,inan,femn sing,ablt | NOUN,inan,femn sing,ablt,V-oy | NOUN,inan,femn sing,accs | NOUN,inan,femn sing,datv | NOUN,inan,femn sing,gent | NOUN,inan,femn sing,loct | NOUN,inan,femn sing,nomn	false	3.27	517	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
жалоба	6	HARD	NOUN,inan,femn plur,ablt | NOUN,inan,femn plur,accs | NOUN,inan,femn plur,datv | NOUN,inan,femn plur,gent | NOUN,inan,femn plur,loct | NOUN,inan,femn plur,nomn | NOUN,inan,femn sing,ablt | NOUN,inan,femn sing,ablt,V-oy | NOUN,inan,femn sing,accs | NOUN,inan,femn sing,datv | NOUN,inan,femn sing,gent | NOUN,inan,femn sing,loct | NOUN,inan,femn sing,nomn	false	3.56	481	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
жалость	7	EXPERT	NOUN,inan,femn plur,ablt | NOUN,inan,femn plur,accs | NOUN,inan,femn plur,datv | NOUN,inan,femn plur,gent | NOUN,inan,femn plur,loct | NOUN,inan,femn plur,nomn | NOUN,inan,femn sing,ablt | NOUN,inan,femn sing,accs | NOUN,inan,femn sing,datv | NOUN,inan,femn sing,gent | NOUN,inan,femn sing,loct | NOUN,inan,femn sing,nomn	false	3.68	370	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
жанр	4	EASY	NOUN,inan,masc plur,ablt | NOUN,inan,masc plur,accs | NOUN,inan,masc plur,datv | NOUN,inan,masc plur,gent | NOUN,inan,masc plur,loct | NOUN,inan,masc plur,nomn | NOUN,inan,masc sing,ablt | NOUN,inan,masc sing,accs | NOUN,inan,masc sing,datv | NOUN,inan,masc sing,gent | NOUN,inan,masc sing,loct | NOUN,inan,masc sing,nomn	false	4.07	186	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
жара	4	EASY	NOUN,inan,femn,Sgtm sing,ablt | NOUN,inan,femn,Sgtm sing,ablt,V-oy | NOUN,inan,femn,Sgtm sing,accs | NOUN,inan,femn,Sgtm sing,datv | NOUN,inan,femn,Sgtm sing,gent | NOUN,inan,femn,Sgtm sing,loct | NOUN,inan,femn,Sgtm sing,nomn	false	3.90	235	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
жаркое	6	HARD	NOUN,inan,neut plur,ablt | NOUN,inan,neut plur,accs | NOUN,inan,neut plur,datv | NOUN,inan,neut plur,gent | NOUN,inan,neut plur,loct | NOUN,inan,neut plur,nomn | NOUN,inan,neut sing,ablt | NOUN,inan,neut sing,accs | NOUN,inan,neut sing,datv | NOUN,inan,neut sing,gent | NOUN,inan,neut sing,loct | NOUN,inan,neut sing,nomn	false	3.67	398	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
жезл	4	EASY	NOUN,inan,masc plur,ablt | NOUN,inan,masc plur,accs | NOUN,inan,masc plur,datv | NOUN,inan,masc plur,gent | NOUN,inan,masc plur,loct | NOUN,inan,masc plur,nomn | NOUN,inan,masc sing,ablt | NOUN,inan,masc sing,accs | NOUN,inan,masc sing,datv | NOUN,inan,masc sing,gent | NOUN,inan,masc sing,loct | NOUN,inan,masc sing,nomn	false	3.25	534	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
желание	7	EXPERT	NOUN,inan,neut plur,ablt | NOUN,inan,neut plur,ablt,V-be | NOUN,inan,neut plur,accs | NOUN,inan,neut plur,accs,V-be | NOUN,inan,neut plur,datv | NOUN,inan,neut plur,datv,V-be | NOUN,inan,neut plur,gent | NOUN,inan,neut plur,loct | NOUN,inan,neut plur,loct,V-be | NOUN,inan,neut plur,nomn | NOUN,inan,neut plur,nomn,V-be | NOUN,inan,neut sing,ablt | NOUN,inan,neut sing,ablt,V-be | NOUN,inan,neut sing,accs | NOUN,inan,neut sing,accs,V-be | NOUN,inan,neut sing,datv | NOUN,inan,neut sing,datv,V-be | NOUN,inan,neut sing,gent | NOUN,inan,neut sing,gent,V-be | NOUN,inan,neut sing,loct | NOUN,inan,neut sing,loct,V-be | NOUN,inan,neut sing,loct,V-be,V-bi | NOUN,inan,neut sing,nomn | NOUN,inan,neut sing,nomn,V-be	false	4.81	33	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
желе	4	EASY	NOUN,inan,neut,Fixd plur,ablt | NOUN,inan,neut,Fixd plur,accs | NOUN,inan,neut,Fixd plur,datv | NOUN,inan,neut,Fixd plur,gent | NOUN,inan,neut,Fixd plur,loct | NOUN,inan,neut,Fixd plur,nomn | NOUN,inan,neut,Fixd sing,ablt | NOUN,inan,neut,Fixd sing,accs | NOUN,inan,neut,Fixd sing,datv | NOUN,inan,neut,Fixd sing,gent | NOUN,inan,neut,Fixd sing,loct | NOUN,inan,neut,Fixd sing,nomn	false	3.48	387	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
железо	6	HARD	NOUN,inan,neut plur,ablt | NOUN,inan,neut plur,accs | NOUN,inan,neut plur,datv | NOUN,inan,neut plur,gent | NOUN,inan,neut plur,loct | NOUN,inan,neut plur,nomn | NOUN,inan,neut sing,ablt | NOUN,inan,neut sing,accs | NOUN,inan,neut sing,datv | NOUN,inan,neut sing,gent | NOUN,inan,neut sing,loct | NOUN,inan,neut sing,nomn	false	3.91	261	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
желудок	7	EXPERT	NOUN,inan,masc plur,ablt | NOUN,inan,masc plur,accs | NOUN,inan,masc plur,datv | NOUN,inan,masc plur,gent | NOUN,inan,masc plur,loct | NOUN,inan,masc plur,nomn | NOUN,inan,masc sing,ablt | NOUN,inan,masc sing,accs | NOUN,inan,masc sing,datv | NOUN,inan,masc sing,gent | NOUN,inan,masc sing,loct | NOUN,inan,masc sing,nomn	false	3.88	251	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
жена	4	EASY	NOUN,anim,femn plur,ablt | NOUN,anim,femn plur,accs | NOUN,anim,femn plur,datv | NOUN,anim,femn plur,gent | NOUN,anim,femn plur,loct | NOUN,anim,femn plur,nomn | NOUN,anim,femn sing,ablt | NOUN,anim,femn sing,ablt,V-oy | NOUN,anim,femn sing,accs | NOUN,anim,femn sing,datv | NOUN,anim,femn sing,gent | NOUN,anim,femn sing,loct | NOUN,anim,femn sing,nomn	false	5.07	16	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
жених	5	MEDIUM	NOUN,anim,masc plur,ablt | NOUN,anim,masc plur,accs | NOUN,anim,masc plur,datv | NOUN,anim,masc plur,gent | NOUN,anim,masc plur,loct | NOUN,anim,masc plur,nomn | NOUN,anim,masc sing,ablt | NOUN,anim,masc sing,accs | NOUN,anim,masc sing,datv | NOUN,anim,masc sing,gent | NOUN,anim,masc sing,loct | NOUN,anim,masc sing,nomn	false	3.86	335	TRUSTED_V1	TRUSTED	ALLOW
женщина	7	EXPERT	NOUN,anim,femn plur,ablt | NOUN,anim,femn plur,accs | NOUN,anim,femn plur,datv | NOUN,anim,femn plur,gent | NOUN,anim,femn plur,loct | NOUN,anim,femn plur,nomn | NOUN,anim,femn sing,ablt | NOUN,anim,femn sing,ablt,V-oy | NOUN,anim,femn sing,accs | NOUN,anim,femn sing,datv | NOUN,anim,femn sing,gent | NOUN,anim,femn sing,loct | NOUN,anim,femn sing,nomn	false	5.23	6	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
жерло	5	MEDIUM	NOUN,inan,neut plur,ablt | NOUN,inan,neut plur,accs | NOUN,inan,neut plur,datv | NOUN,inan,neut plur,gent | NOUN,inan,neut plur,loct | NOUN,inan,neut plur,nomn | NOUN,inan,neut sing,ablt | NOUN,inan,neut sing,accs | NOUN,inan,neut sing,datv | NOUN,inan,neut sing,gent | NOUN,inan,neut sing,loct | NOUN,inan,neut sing,nomn	false	2.31	1891	TRUSTED_V1	TRUSTED	ALLOW
жертва	6	HARD	NOUN,anim,femn plur,ablt | NOUN,anim,femn plur,accs | NOUN,anim,femn plur,datv | NOUN,anim,femn plur,gent | NOUN,anim,femn plur,loct | NOUN,anim,femn plur,nomn | NOUN,anim,femn sing,ablt | NOUN,anim,femn sing,ablt,V-oy | NOUN,anim,femn sing,accs | NOUN,anim,femn sing,datv | NOUN,anim,femn sing,gent | NOUN,anim,femn sing,loct | NOUN,anim,femn sing,nomn | NOUN,inan,femn plur,ablt | NOUN,inan,femn plur,accs | NOUN,inan,femn plur,datv | NOUN,inan,femn plur,gent | NOUN,inan,femn plur,loct | NOUN,inan,femn plur,nomn | NOUN,inan,femn sing,ablt | NOUN,inan,femn sing,ablt,V-oy | NOUN,inan,femn sing,accs | NOUN,inan,femn sing,datv | NOUN,inan,femn sing,gent | NOUN,inan,femn sing,loct | NOUN,inan,femn sing,nomn	false	3.98	231	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
жест	4	EASY	NOUN,inan,masc plur,ablt | NOUN,inan,masc plur,accs | NOUN,inan,masc plur,datv | NOUN,inan,masc plur,gent | NOUN,inan,masc plur,loct | NOUN,inan,masc plur,nomn | NOUN,inan,masc sing,ablt | NOUN,inan,masc sing,accs | NOUN,inan,masc sing,datv | NOUN,inan,masc sing,gent | NOUN,inan,masc sing,loct | NOUN,inan,masc sing,nomn	false	3.88	244	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
жесть	5	MEDIUM	NOUN,inan,femn plur,ablt | NOUN,inan,femn plur,accs | NOUN,inan,femn plur,datv | NOUN,inan,femn plur,gent | NOUN,inan,femn plur,loct | NOUN,inan,femn plur,nomn | NOUN,inan,femn sing,ablt | NOUN,inan,femn sing,accs | NOUN,inan,femn sing,datv | NOUN,inan,femn sing,gent | NOUN,inan,femn sing,loct | NOUN,inan,femn sing,nomn	false	3.22	819	TRUSTED_V1	TRUSTED	ALLOW
жетон	5	MEDIUM	NOUN,inan,masc plur,ablt | NOUN,inan,masc plur,accs | NOUN,inan,masc plur,datv | NOUN,inan,masc plur,gent | NOUN,inan,masc plur,loct | NOUN,inan,masc plur,nomn | NOUN,inan,masc sing,ablt | NOUN,inan,masc sing,accs | NOUN,inan,masc sing,datv | NOUN,inan,masc sing,gent | NOUN,inan,masc sing,loct | NOUN,inan,masc sing,nomn	false	2.81	1284	TRUSTED_V1	TRUSTED	ALLOW
живот	5	MEDIUM	NOUN,anim,masc plur,ablt | NOUN,anim,masc plur,accs | NOUN,anim,masc plur,datv | NOUN,anim,masc plur,gent | NOUN,anim,masc plur,loct | NOUN,anim,masc plur,nomn | NOUN,anim,masc sing,ablt | NOUN,anim,masc sing,accs | NOUN,anim,masc sing,datv | NOUN,anim,masc sing,gent | NOUN,anim,masc sing,loct | NOUN,anim,masc sing,nomn | NOUN,inan,masc plur,ablt | NOUN,inan,masc plur,accs | NOUN,inan,masc plur,datv | NOUN,inan,masc plur,gent | NOUN,inan,masc plur,loct | NOUN,inan,masc plur,nomn | NOUN,inan,masc sing,ablt | NOUN,inan,masc sing,accs | NOUN,inan,masc sing,datv | NOUN,inan,masc sing,gent | NOUN,inan,masc sing,loct | NOUN,inan,masc sing,nomn	false	4.25	162	TRUSTED_V1	TRUSTED	ALLOW
жизнь	5	MEDIUM	NOUN,inan,femn plur,ablt | NOUN,inan,femn plur,accs | NOUN,inan,femn plur,datv | NOUN,inan,femn plur,gent | NOUN,inan,femn plur,loct | NOUN,inan,femn plur,nomn | NOUN,inan,femn sing,ablt | NOUN,inan,femn sing,accs | NOUN,inan,femn sing,datv | NOUN,inan,femn sing,gent | NOUN,inan,femn sing,loct | NOUN,inan,femn sing,nomn	false	5.73	2	TRUSTED_V1	TRUSTED	ALLOW
жилет	5	MEDIUM	NOUN,inan,masc plur,ablt | NOUN,inan,masc plur,accs | NOUN,inan,masc plur,datv | NOUN,inan,masc plur,gent | NOUN,inan,masc plur,loct | NOUN,inan,masc plur,nomn | NOUN,inan,masc sing,ablt | NOUN,inan,masc sing,accs | NOUN,inan,masc sing,datv | NOUN,inan,masc sing,gent | NOUN,inan,masc sing,loct | NOUN,inan,masc sing,nomn	false	3.31	732	TRUSTED_V1	TRUSTED	ALLOW
жилище	6	HARD	NOUN,inan,neut plur,ablt | NOUN,inan,neut plur,accs | NOUN,inan,neut plur,datv | NOUN,inan,neut plur,gent | NOUN,inan,neut plur,loct | NOUN,inan,neut plur,nomn | NOUN,inan,neut sing,ablt | NOUN,inan,neut sing,accs | NOUN,inan,neut sing,datv | NOUN,inan,neut sing,gent | NOUN,inan,neut sing,loct | NOUN,inan,neut sing,nomn	false	3.65	412	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
жилье	5	MEDIUM	NOUN,inan,neut,Sgtm sing,ablt | NOUN,inan,neut,Sgtm sing,accs | NOUN,inan,neut,Sgtm sing,datv | NOUN,inan,neut,Sgtm sing,gent | NOUN,inan,neut,Sgtm sing,loct | NOUN,inan,neut,Sgtm sing,nomn	false	4.14	199	TRUSTED_V1	TRUSTED	ALLOW
жираф	5	MEDIUM	NOUN,anim,masc plur,ablt | NOUN,anim,masc plur,accs | NOUN,anim,masc plur,datv | NOUN,anim,masc plur,gent | NOUN,anim,masc plur,loct | NOUN,anim,masc plur,nomn | NOUN,anim,masc sing,ablt | NOUN,anim,masc sing,accs | NOUN,anim,masc sing,datv | NOUN,anim,masc sing,gent | NOUN,anim,masc sing,loct | NOUN,anim,masc sing,nomn	false	3.16	884	TRUSTED_V1	TRUSTED	ALLOW
житель	6	HARD	NOUN,anim,masc plur,ablt | NOUN,anim,masc plur,accs | NOUN,anim,masc plur,datv | NOUN,anim,masc plur,gent | NOUN,anim,masc plur,loct | NOUN,anim,masc plur,nomn | NOUN,anim,masc sing,ablt | NOUN,anim,masc sing,accs | NOUN,anim,masc sing,datv | NOUN,anim,masc sing,gent | NOUN,anim,masc sing,loct | NOUN,anim,masc sing,nomn	false	4.35	110	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
жрец	4	EASY	NOUN,anim,masc plur,ablt | NOUN,anim,masc plur,accs | NOUN,anim,masc plur,datv | NOUN,anim,masc plur,gent | NOUN,anim,masc plur,loct | NOUN,anim,masc plur,nomn | NOUN,anim,masc sing,ablt | NOUN,anim,masc sing,accs | NOUN,anim,masc sing,datv | NOUN,anim,masc sing,gent | NOUN,anim,masc sing,loct | NOUN,anim,masc sing,nomn	false	3.25	535	WORDFREQ_RANKED	IN_POOL_REVIEW_REQUIRED	
